_id,No.,Type,Line,Station_Code,Station_Name,Passenger_Arrival,Passenger_Departure,Date
100,100,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2480,2462,2022-01-13T00:00:00
101,101,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3059,3107,2022-01-13T00:00:00
102,102,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4601,5003,2022-01-13T00:00:00
103,103,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1537,1534,2022-01-13T00:00:00
104,104,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5728,5918,2022-01-13T00:00:00
105,105,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4557,3818,2022-01-14T00:00:00
106,106,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5775,5623,2022-01-14T00:00:00
107,107,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1795,1741,2022-01-14T00:00:00
108,108,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2710,2647,2022-01-14T00:00:00
109,109,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3140,3275,2022-01-14T00:00:00
110,110,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5091,5687,2022-01-14T00:00:00
111,111,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1647,1636,2022-01-14T00:00:00
112,112,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6379,6667,2022-01-14T00:00:00
113,113,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4074,3513,2022-01-15T00:00:00
114,114,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4281,4339,2022-01-15T00:00:00
115,115,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1028,987,2022-01-15T00:00:00
116,116,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1813,1803,2022-01-15T00:00:00
117,117,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2157,2314,2022-01-15T00:00:00
118,118,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3869,4182,2022-01-15T00:00:00
119,119,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1199,1151,2022-01-15T00:00:00
120,120,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4806,4938,2022-01-15T00:00:00
121,121,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4042,3006,2022-01-16T00:00:00
122,122,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3684,3746,2022-01-16T00:00:00
123,123,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,831,782,2022-01-16T00:00:00
124,124,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1468,1499,2022-01-16T00:00:00
125,125,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1725,2001,2022-01-16T00:00:00
126,126,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3142,3534,2022-01-16T00:00:00
127,127,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1061,915,2022-01-16T00:00:00
128,128,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4025,4495,2022-01-16T00:00:00
129,129,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4105,3234,2022-01-17T00:00:00
130,130,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5494,5440,2022-01-17T00:00:00
131,131,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1848,1750,2022-01-17T00:00:00
132,132,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2591,2625,2022-01-17T00:00:00
133,133,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3094,3253,2022-01-17T00:00:00
134,134,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5099,5540,2022-01-17T00:00:00
135,135,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1497,1488,2022-01-17T00:00:00
136,136,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5880,6278,2022-01-17T00:00:00
137,137,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4119,3250,2022-01-18T00:00:00
138,138,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5361,5305,2022-01-18T00:00:00
139,139,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1802,1767,2022-01-18T00:00:00
140,140,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2701,2676,2022-01-18T00:00:00
141,141,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3166,3122,2022-01-18T00:00:00
142,142,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5091,5572,2022-01-18T00:00:00
143,143,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1517,1535,2022-01-18T00:00:00
144,144,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5664,6194,2022-01-18T00:00:00
145,145,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4017,3257,2022-01-19T00:00:00
146,146,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5396,5433,2022-01-19T00:00:00
147,147,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1836,1773,2022-01-19T00:00:00
148,148,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2631,2657,2022-01-19T00:00:00
149,149,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3113,3250,2022-01-19T00:00:00
150,150,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5101,5541,2022-01-19T00:00:00
151,151,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1598,1513,2022-01-19T00:00:00
152,152,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5842,6110,2022-01-19T00:00:00
153,153,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3900,3617,2022-01-20T00:00:00
154,154,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5555,5424,2022-01-20T00:00:00
155,155,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1837,1775,2022-01-20T00:00:00
156,156,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2723,2653,2022-01-20T00:00:00
157,157,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3172,3255,2022-01-20T00:00:00
158,158,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5102,5512,2022-01-20T00:00:00
159,159,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1566,1549,2022-01-20T00:00:00
160,160,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6039,6109,2022-01-20T00:00:00
161,161,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4263,3864,2022-01-21T00:00:00
162,162,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5892,5840,2022-01-21T00:00:00
163,163,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1848,1745,2022-01-21T00:00:00
164,164,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2764,2803,2022-01-21T00:00:00
165,165,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3295,3327,2022-01-21T00:00:00
166,166,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5586,5937,2022-01-21T00:00:00
167,167,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1594,1541,2022-01-21T00:00:00
168,168,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6614,6799,2022-01-21T00:00:00
169,169,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3847,3398,2022-01-22T00:00:00
170,170,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4358,4487,2022-01-22T00:00:00
171,171,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1080,1042,2022-01-22T00:00:00
172,172,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1856,1831,2022-01-22T00:00:00
173,173,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2168,2225,2022-01-22T00:00:00
174,174,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3933,4082,2022-01-22T00:00:00
175,175,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1209,1152,2022-01-22T00:00:00
176,176,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4944,5178,2022-01-22T00:00:00
177,177,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3776,3039,2022-01-23T00:00:00
178,178,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3886,3831,2022-01-23T00:00:00
179,179,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,854,816,2022-01-23T00:00:00
180,180,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1490,1550,2022-01-23T00:00:00
181,181,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1762,1983,2022-01-23T00:00:00
182,182,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3187,3477,2022-01-23T00:00:00
183,183,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1137,1093,2022-01-23T00:00:00
184,184,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4224,4527,2022-01-23T00:00:00
185,185,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4317,3661,2022-01-24T00:00:00
186,186,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5668,5622,2022-01-24T00:00:00
187,187,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1842,1786,2022-01-24T00:00:00
188,188,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2786,2725,2022-01-24T00:00:00
189,189,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3304,3403,2022-01-24T00:00:00
190,190,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5267,5739,2022-01-24T00:00:00
191,191,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1650,1486,2022-01-24T00:00:00
192,192,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6246,6658,2022-01-24T00:00:00
193,193,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4140,3615,2022-01-25T00:00:00
194,194,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5542,5533,2022-01-25T00:00:00
195,195,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1848,1774,2022-01-25T00:00:00
196,196,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2796,2776,2022-01-25T00:00:00
197,197,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3288,3258,2022-01-25T00:00:00
198,198,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5253,5645,2022-01-25T00:00:00
